id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,accommodates,first_review,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_rating,maximum_nights,listing_url,host_is_superhost,host_response_time,host_response_rate
949287332022581244,Home in Vitacura · ★New · 1 bedroom · 1 bed · 1 bath,90870601,Francisco,Vitacura,-33.36091680464241,-70.55978767483762,Private room,20.0,7,0,,,3,269,0,Private room in home,2,,,,,,,,,365,https://www.airbnb.com/rooms/949287332022581244,f,within an hour,100%
951546012343835064,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,33026012,Juan,Estación Central,-33.45118983418209,-70.69345165861158,Entire home/apt,90.0,1,0,,,3,269,0,Entire rental unit,2,,,,,,,,,365,https://www.airbnb.com/rooms/951546012343835064,f,within a few hours,80%
951548756693531255,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,27382280,Víctor,Santiago,-33.44795122660007,-70.63958365470171,Entire home/apt,32.0,2,0,,,2,15,0,Entire rental unit,2,,,,,,,,,30,https://www.airbnb.com/rooms/951548756693531255,t,within an hour,100%
951590931050647613,Rental unit in Santiago · ★New · 2 bedrooms · 5 beds · 1 bath,530122239,Roberto,Estación Central,-33.454314219597244,-70.70406655985879,Entire home/apt,50.0,1,2,2023-08-20,1.62,1,269,2,Entire rental unit,5,2023-08-18,5.0,5.0,4.5,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/951590931050647613,f,within an hour,100%
949352861413289720,Rental unit in Santiago · ★New · 4 bedrooms · 8 beds · 3 baths,529501439,Rosario,Lo Barnechea,-33.33417076733781,-70.28823241842882,Entire home/apt,450.0,2,0,,,1,267,0,Entire rental unit,9,,,,,,,,,365,https://www.airbnb.com/rooms/949352861413289720,f,within a few hours,100%
949394507499740999,Rental unit in Providencia · ★5.0 · 1 bedroom · 2 beds · 1 bath,13523323,Marco,Providencia,-33.4358328338898,-70.62650035888299,Entire home/apt,39.0,2,4,2023-08-27,2.5,4,269,4,Entire rental unit,3,2023-08-07,4.75,4.75,4.75,5.0,5.0,5.0,5.0,30,https://www.airbnb.com/rooms/949394507499740999,,within an hour,100%
949767378945172682,Rental unit in Las Condes · ★5.0 · 1 bedroom · 2 beds · 1 bath,143292553,Jessica,Las Condes,-33.3991749,-70.5716084,Entire home/apt,70.0,2,4,2023-08-30,2.86,21,247,4,Entire rental unit,4,2023-08-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/949767378945172682,t,within an hour,100%
949791724796659031,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,509586928,Day For Day,Estación Central,-33.4553402,-70.6996085,Entire home/apt,28.0,2,3,2023-09-17,3.0,6,81,3,Entire rental unit,2,2023-08-27,4.33,5.0,4.33,4.67,4.33,4.67,5.0,365,https://www.airbnb.com/rooms/949791724796659031,f,within an hour,100%
951629687458920969,Home in La Reina · ★New · 4 bedrooms · 6 beds · 4.5 baths,10662475,Víctor Hugo,La Reina,-33.4348698,-70.5216465,Entire home/apt,116.8,30,0,,,4,365,0,Entire home,7,,,,,,,,,1125,https://www.airbnb.com/rooms/951629687458920969,t,within an hour,100%
951657064549938460,Rental unit in Santiago · ★New · 1 bedroom · 2 beds · 1 bath,7051569,Barbara,Santiago,-33.4340633,-70.6569037,Entire home/apt,33.0,4,0,,,2,365,0,Entire rental unit,3,,,,,,,,,365,https://www.airbnb.com/rooms/951657064549938460,f,within an hour,100%
951704282260850288,Rental unit in Vitacura · ★5.0 · 1 bedroom · 1 bed · 1 bath,80940949,Pau,Vitacura,-33.404594615496,-70.59456734347337,Entire home/apt,25.571,2,3,2023-09-15,2.14,1,260,3,Entire rental unit,1,2023-08-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50,https://www.airbnb.com/rooms/951704282260850288,f,within an hour,100%
951711739980686467,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,512890518,Viviana,Santiago,-33.44520227705951,-70.64212378290163,Entire home/apt,31.786,2,0,,,8,269,0,Entire rental unit,2,,,,,,,,,365,https://www.airbnb.com/rooms/951711739980686467,f,within an hour,100%
952195815398954550,Rental unit in Las Condes · ★New · 2 bedrooms · 3 beds · 2 baths,179648559,Melvis,Las Condes,-33.3833251,-70.5314437,Entire home/apt,84.921,2,2,2023-09-08,1.5,2,249,2,Entire rental unit,5,2023-08-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,180,https://www.airbnb.com/rooms/952195815398954550,f,within an hour,100%
952222486991373388,Rental unit in Santiago · ★5.0 · 2 bedrooms · 3 beds · 2 baths,530298124,Patricia,Santiago,-33.439851277999146,-70.65718264854749,Entire home/apt,65.0,1,4,2023-09-10,3.43,2,255,4,Entire rental unit,4,2023-08-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/952222486991373388,f,within an hour,100%
949839833527053633,Rental unit in Providencia · ★4.0 · 1 bedroom · 1 bed · 1 bath,155392055,Lissette,Providencia,-33.42380366123651,-70.59488171514037,Entire home/apt,40.0,2,3,2023-09-08,3.0,1,182,3,Entire rental unit,2,2023-08-27,4.0,4.33,5.0,4.33,4.67,4.67,4.0,365,https://www.airbnb.com/rooms/949839833527053633,f,within an hour,86%
949892076864833967,Rental unit in Santiago · ★4.57 · 1 bedroom · 2 beds · 1 bath,188608950,Julio Perez,Santiago,-33.4406291709604,-70.65766719241981,Entire home/apt,36.0,1,7,2023-09-03,4.29,3,269,7,Entire rental unit,3,2023-08-06,4.43,4.86,5.0,4.43,4.71,4.86,4.57,365,https://www.airbnb.com/rooms/949892076864833967,f,within an hour,98%
949892921361237154,Rental unit in Las Condes · ★New · 1 bedroom · 1 bed · 1 bath,456656876,Aqc,Las Condes,-33.4108402,-70.5764124,Entire home/apt,41.357,3,0,,,32,0,0,Entire rental unit,2,,,,,,,,,365,https://www.airbnb.com/rooms/949892921361237154,f,within an hour,100%
950004168665676578,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,66818917,Vittorio,Santiago,-33.438528230580694,-70.66149902377211,Entire home/apt,26.286,2,2,2023-08-28,1.67,4,243,2,Entire rental unit,2,2023-08-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/950004168665676578,t,within an hour,100%
950122408461533298,Rental unit in Macul · ★New · 1 bedroom · 1 bed · 1 bath,477855054,Vania,Macul,-33.4984548,-70.5869956,Entire home/apt,42.0,1,2,2023-08-19,1.54,2,254,2,Entire rental unit,2,2023-08-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/950122408461533298,f,within an hour,100%
952238757503724345,casa particular in Providencia · ★New · 1 bedroom · 2 beds · 1 shared bath,446585195,José Manuel,Providencia,-33.4366258380774,-70.63426652506395,Private room,27.996000000000002,1,0,,,1,270,0,Private room in casa particular,2,,,,,,,,,365,https://www.airbnb.com/rooms/952238757503724345,f,,
950133158951996720,Condo in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 private bath,522056476,Patricia,Santiago,-33.446626163810826,-70.67533571447073,Private room,22.0,1,4,2023-08-30,3.43,1,241,4,Private room in condo,1,2023-08-20,5.0,5.0,4.75,4.75,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/950133158951996720,f,within an hour,100%
952247922023965660,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,529344584,Carolina,Santiago,-33.4335253,-70.65539439999999,Entire home/apt,37.829,2,1,2023-08-30,1.0,2,270,1,Entire rental unit,2,2023-08-30,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/952247922023965660,f,within an hour,100%
952290648757748833,Rental unit in La Florida · ★New · 2 bedrooms · 2 beds · 1 bath,218040321,Jorge,La Florida,-33.519039,-70.5707125,Entire home/apt,38.383,2,0,,,1,86,0,Entire rental unit,3,,,,,,,,,8,https://www.airbnb.com/rooms/952290648757748833,f,a few days or more,0%
950134358288081161,Rental unit in Providencia · ★New · 1 bedroom · 1 bed · 1 private bath,79895007,Maca,Providencia,-33.44413144301077,-70.60523461550474,Private room,22.0,1,0,,,1,179,0,Private room in rental unit,2,,,,,,,,,60,https://www.airbnb.com/rooms/950134358288081161,f,within a few hours,100%
950141753591172320,Rental unit in La Florida · ★New · 1 bedroom · 1 bed · 1 bath,509586928,Day For Day,La Florida,-33.51771,-70.606,Entire home/apt,42.0,2,1,2023-08-31,1.0,6,75,1,Entire rental unit,2,2023-08-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/950141753591172320,f,within an hour,100%
952306407424883564,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,20539094,Silvana,Santiago,-33.450377710513585,-70.63356645396728,Entire home/apt,30.0,2,0,,,1,165,0,Entire rental unit,2,,,,,,,,,30,https://www.airbnb.com/rooms/952306407424883564,f,within an hour,100%
